Text,Relationship_Level,Interaction_History,Interaction_Frequency,Label
"I'll make you cry",stranger,Hostile,One-time,Bullying
"I'll make you cry 😂",close friend,Joking,Rare,Not Bullying
"You're nothing",stranger,None,One-time,Bullying
"You're nothing 🥺",close friend,Comforting,Rare,Not Bullying
"Get out of here",stranger,None,One-time,Bullying
"Get out of here 🙄",frequent contact,Playful,Occasional,Not Bullying
"I'm going to end you",stranger,None,One-time,Bullying
"I'm going to end you 🎮",close friend,Game trash-talk,Frequent,Not Bullying
"You're so stupid",stranger,None,One-time,Bullying
"You're so stupid 🤣",close friend,Friendly,Frequent,Not Bullying
"I hate your guts",stranger,Hostile,Occasional,Bullying
"I hate your guts 😂",close friend,Playful,Rare,Not Bullying
"Kill yourself already",stranger,None,One-time,Bullying
"Kill yourself already 😜",close friend,Dark humor,Rare,Not Bullying
"You're a freak",stranger,None,One-time,Bullying
"You're a freak 🤪",frequent contact,Playful,Rare,Not Bullying
"I'll make sure you regret it",stranger,Hostile,One-time,Bullying
"I'll make sure you regret it 😉",close friend,Playful,Rare,Not Bullying
"You're garbage",stranger,None,One-time,Bullying
"You're garbage 😂",close friend,Friendly,Rare,Not Bullying
"I wish you'd disappear",stranger,None,One-time,Bullying
"I wish you'd disappear 😂",close friend,Joking,Rare,Not Bullying
"You're a waste of space",stranger,None,One-time,Bullying
"You're a waste of space 😴",close friend,Friendly banter,Rare,Not Bullying
